id_transaccion,fecha_emision,nombre,correo,telefono,direccion,ciudad,cantidad,monto,pago,estado_pago,ip,timestamp,observaciones
ID0001,2025-07-12,Abril Víctor Pantoja,sanchessilvia@gmail.com,226.053.0920x0382,Avenida Norte Montemayor 806 794,San Angélica los altos,5,10166.54,completo,exitoso,124.215.77.207,2025-07-12T10:32:12.770316,promoción aplicada
ID0002,2025-07-12,Dr. José Manuél García,gsosa@hotmail.com,663-846-8308x68810,Pasaje Norte Matos 612 Interior 951,Nueva Eritrea,5,78292.98,completo,exitoso,156.21.89.70,2025-07-12T10:32:12.770572,
ID0003,2025-07-12,Olga Amador Patiño,zmuro@yahoo.com,(556)970-8565x28000,"Circuito Valentín 341 Edif. 947 , Depto. 069",Nueva Zambia,5,52788.28,completo,exitoso,45.5.192.206,2025-07-12T10:32:12.770757,
ID0004,2025-07-12,Eloisa Trejo,zacariassalinas@outlook.com,1-744-708-5906x794,Calzada Micronesia 792 555,Nueva Nauru,4,20311.28,completo,exitoso,110.41.173.40,2025-07-12T10:32:12.770924,
ID0005,2025-07-12,Mauricio Ureña Barragán,esmeraldaocampo@hotmail.com,002-077-6409x6057,Calle Muro 207 Interior 792,Nueva Djibouti,4,87682.65,completo,exitoso,40.223.229.201,2025-07-12T10:32:12.771091,promoción aplicada
ID0006,2025-07-12,Elena Velázquez Centeno,garayadriana@outlook.com,(996)038-8578x98890,Pasaje México 585 Interior 286,San Mayte los altos,5,20012.3,completo,exitoso,18.203.119.105,2025-07-12T10:32:12.771260,
ID0007,2025-07-12,Felix Karina Ortiz Serrano,verapaulina@yahoo.com,(484)415-3878,Peatonal Sur Hernádez 780 Interior 433,San Horacio los altos,3,66497.22,fraccionado,fallido,90.167.110.154,2025-07-12T10:32:12.771419,cliente frecuente
ID0008,2025-07-12,Iván Uribe,lorenzopalacios@hotmail.com,537-513-1487,"Avenida Nuevo León 965 Edif. 969 , Depto. 781",Nueva Francia,1,67318.85,fraccionado,exitoso,87.251.63.57,2025-07-12T10:32:12.771574,cliente frecuente
ID0009,2025-07-12,Armando Zeferino Mata Casares,francoclemente@gmail.com,136.052.1988x57993,"Continuación Otero 114 Edif. 976 , Depto. 365",San Alvaro los bajos,1,17253.5,fraccionado,exitoso,126.172.77.66,2025-07-12T10:32:12.771738,promoción aplicada
ID0010,2025-07-12,Uriel Hernandes Meraz,mfuentes@hotmail.com,09274514527,Prolongación Mercado 925 942,San Esmeralda de la Montaña,2,31663.06,completo,exitoso,68.158.124.23,2025-07-12T10:32:12.771891,cliente frecuente
